Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
gainstar 10l airfryer,,70,,,33,66.6667,55,,1,0,1,0,1,,-7,,,,,
keson 20l microwave,,71,,,62,29.0323,80,,1,0,1,0,1,,-1,,,,,
silver criest 5l,,72,,,32,40.625,45,,1,0,1,0,1,,-2,,,,,
hosepipe,,73,,,22,59.0909,35,,1,0,1,0,1,,-3,,,,,
300w power inverter,,74,,,8.5,76.4706,15,,1,0,1,0,1,,-1,,,,,
500w power inverter,,75,,,11,81.8182,20,,1,0,1,0,1,,-37,,,,,
1200w power inverter,,76,,,36,25,45,,1,0,1,0,1,,-12,,,,,
2000w power inverter,,77,,,47,27.6596,60,,1,0,1,0,1,,-18,,,,,
1500w power inverter,,78,,,37,35.1351,50,,1,0,1,0,1,,-8,,,,,
DC to AC inverter 250w,,79,,,6.5,84.6154,12,,1,0,1,0,1,,-14,,,,,
DC to AC inverter 500w,,80,,,9,66.6667,15,,1,0,1,0,1,,-36,,,,,
20amps solar controller,,81,,,5.3,50.9434,8,,1,0,1,0,1,,-121,,,,,
30amps solar controller,,82,,,7,42.8571,10,,1,0,1,0,1,,-69,,,,,
40amps solar controller,,83,,,10.5,42.8571,15,,1,0,1,0,1,,-79,,,,,
50amps solar controller,,84,,,11,81.8182,20,,1,1,1,0,1,,-41,,,,,
60amps solar controller,,85,,,15,66.6667,25,,1,0,1,0,1,,-9,,,,,
gas lighter,,86,,,1,100,2,,1,1,1,0,1,,-8,,,,,
10w flood light,,87,,,3.3,203.0303,10,,1,0,1,0,1,,-84,,,,,
20w flood lights,,88,,,9,66.6667,15,,1,0,1,0,1,,-41,,,,,
40w flood light,,89,,,13,53.8462,20,,1,1,1,0,1,,-4,,,,,
60w flood light,,90,,,16,56.25,25,,1,0,1,0,1,,-2,,,,,
h2solar 200w flood light,,91,,,22,59.0909,35,,1,0,1,0,1,,-2,,,,,
h2solar 100w flood light,,92,,,20,50,30,,1,0,1,0,1,,0,,,,,
solar induction wall lamp,,93,,,8.5,76.4706,15,,1,0,1,0,1,,-7,,,,,
cedieeye solar led light,,94,,,4,150,10,,1,0,1,0,1,,-2,,,,,
cedieeye 200w flood light,,95,,,13,92.3077,25,,1,0,1,0,1,,-4,,,,,
JD 80w 22250,,96,,,2.5,100,5,,1,0,1,0,1,,-5,,,,,
JD solar light 30w,,97,,,9,66.6667,15,,1,0,1,0,1,,0,,,,,
solar light LED,,98,,,25,40,35,,1,0,1,0,1,,0,,,,,
60w solar flood light,,99,,,17,47.0588,25,,1,0,1,0,1,,-2,,,,,
100w ceedee flood light,,100,,,4.5,122.2222,10,,1,0,1,0,1,,-21,,,,,
60w bar light,,101,,,2,100,4,,1,0,1,0,1,,-37,,,,,
30w bar light,,102,,,1,100,2,,1,0,1,0,1,,-12,,,,,
gainstar 2plate gas stove with oven,,103,,,47,38.2979,65,,1,0,1,0,1,,-14,,,,,
HTCBT 100ah 12v battery,,104,,,72,31.9444,95,,1,0,1,0,1,,-49,,,,,
HTCBT 65ah 12v battery,,105,,,55,36.3636,75,,1,0,1,0,1,,-34,,,,,
HTCBT 55ah 12v battery,,106,,,47,38.2979,65,,1,0,1,0,1,,-33,,,,,
ceedee 100ah 12v battery,,107,,,75,26.6667,95,,1,0,1,0,1,,-1,,,,,
ceedee 65ah 12v battery,,108,,,60,25,75,,1,0,1,0,1,,-9,,,,,
ceedee 24ah 12v battery,,109,,,15,66.6667,25,,1,0,1,0,1,,-3,,,,,
ceedee 30ah 12v battery with USB,,110,,,21,42.8571,30,,1,1,1,0,1,,-37,,,,,
ceedee 55ah 12v battery,,111,,,45,44.4444,65,,1,0,1,0,1,,0,,,,,
sunlight 30ah battery with USB,,112,,,21,42.8571,30,,1,0,1,0,1,,-61,,,,,
sunlight 22ah battery,,113,,,15.5,29.0323,20,,1,0,1,0,1,,-10,,,,,
sunlight 30ah battery with no USB,,114,,,19,31.5789,25,,1,0,1,0,1,,-27,,,,,
sunlight 22ah battery with USB,,115,,,15,66.6667,25,,1,0,1,0,1,,-51,,,,,
XTL lithium battery 52ah,,116,,,28,60.7143,45,,1,1,1,0,1,,-43,,,,,
next 4kv inverter,,117,,,155,16.129,180,,1,0,1,0,1,,-8,,,,,
DC 50l ecco fridge,,118,,,170,17.6471,200,,1,0,1,0,1,,-7,,,,,
AC 206l ecco fridge,,119,,,235,14.8936,270,,1,0,1,0,1,,-4,,,,,
raylight welding inverter,,120,,,40,62.5,65,,1,0,1,0,1,,-7,,,,,
ceedee 25ah battery with USB,,121,,,18,66.6667,30,,1,0,1,0,1,,-27,,,,,
h2solar 60ah lithium battery,,122,,,90,33.3333,120,,1,0,1,0,1,,0,,,,,
GD super 1208 22ah,,123,,,22,59.0909,35,,1,0,1,0,1,,-2,,,,,
dyllu impact drill DT-MD-15651,,124,,,18,66.6667,30,,1,0,1,0,1,,-1,,,,,
dyllu impact drill DT-MD-15851,,125,,,22,59.0909,35,,1,0,1,0,1,,0,,,,,
dyllu cordless screwdriver DT-CV-4415,,126,,,9.5,57.8947,15,,1,0,1,0,1,,-4,,,,,
dyllu gasoline chain saw DT-GC-1552,,127,,,75,20,90,,1,0,1,0,1,,-15,,,,,
silvers creist SC-3569,,128,,,30,50,45,,1,0,1,0,1,,-1,,,,,
rice cooker R-167,,129,,,30,50,45,,1,0,1,0,1,,-1,,,,,
electro masters chip fryer electric EM-DF-1054,,130,,,38,57.8947,60,,1,0,1,0,1,,0,,,,,
popcorn marker EM-PCM-1277,,131,,,7,114.2857,15,,1,0,1,0,1,,0,,,,,
RAF electric kettle R-7560,,132,,,24.89,60.7071,40,,1,0,1,0,1,,0,,,,,
RAF coffee maker R-113,,133,,,55,36.3636,75,,1,0,1,0,1,,0,,,,,
hoffmans electronic coffee maker HM-3009,,134,,,18,66.6667,30,,1,0,1,0,1,,0,,,,,
gainsta rice cooker 5l,,135,,,30,50,45,,1,0,1,0,1,,0,,,,,
electro masters rice cooker EM-RS1035,,136,,,25,80,45,,1,0,1,0,1,,0,,,,,
electro masters rice cooker CFXB20-B,,137,,,15,66.6667,25,,1,0,1,0,1,,0,,,,,
gain star double chip fryer,,138,,,52,44.2308,75,,1,0,1,0,1,,-6,,,,,
gain star single chip fryer,,139,,,35,28.5714,45,,1,0,1,0,1,,-6,,,,,
gain star airfryer,,140,,,23.4,49.5726,35,,1,1,1,0,1,,-1,,,,,
electro masters airfryer EMAF-1153,,141,,,53,22.6415,65,,1,0,1,0,1,,0,,,,,
RAF stand mixer R-6628 with bowl,,142,,,17,76.4706,30,,1,0,1,0,1,,0,,,,,
electro masters hand mixer with bowl HEMHMB-1167,,143,,,17.5,42.8571,25,,1,1,1,0,1,,-1,,,,,
electro masters hand mixer with bowl EMHMB1172,,144,,,30,50,45,,1,0,1,0,1,,0,,,,,
electro masters hand mixer with bowl HEMHMB-1166,,145,,,11.5,73.913,20,,1,0,1,0,1,,0,,,,,
RAF electric kettle R-7805,,146,,,20,75,35,,1,0,1,0,1,,0,,,,,
hoffmans donut maker HM-3010,,147,,,16,56.25,25,,1,0,1,0,1,,-1,,,,,
RAF sandwich maker R-5315,,148,,,7,114.2857,15,,1,0,1,0,1,,-12,,,,,
RAF sandwich maker R-22905,,149,,,14,78.5714,25,,1,0,1,0,1,,-8,,,,,
RAF waffle maker,,150,,,6,66.6667,10,,1,0,1,0,1,,-1,,,,,
electro masters bread toaster EM-BT-1207,,151,,,12.5,60,20,,1,0,1,0,1,,0,,,,,
switch on bread toaster 1192,,152,,,12,66.6667,20,,1,0,1,0,1,,-1,,,,,
RAF salad maker R-3390,,153,,,32,40.625,45,,1,0,1,0,1,,0,,,,,
adjustable divider,,154,,,4,150,10,,1,0,1,0,1,,0,,,,,
vaccum cleaner ATJ-V501,,155,,,8.6,74.4186,15,,1,0,1,0,1,,0,,,,,
knife chopsticks rack,,156,,,7.5,100,15,,1,0,1,0,1,,0,,,,,
redmond NSB-200A 200BT,,157,,,7,108.3333,14.58,,1,1,1,0,1,,-10,,,,,
steamer cleaner R-1372,,158,,,17,47.0588,25,,1,0,1,0,1,,0,,,,,
electro masters hot plate EM-HP-1084,,159,,,12.5,60,20,,1,0,1,0,1,,-5,,,,,
electro masters hot plate EM-HP-1991,,160,,,9,66.6667,15,,1,0,1,0,1,,-7,,,,,
electro masters hot plate EM-HP-1081,,161,,,6.5,53.8462,10,,1,0,1,0,1,,-12,,,,,
electro masters hot plate EM-HP-1089,,162,,,12.5,60,20,,1,0,1,0,1,,-20,,,,,
electro masters digital price computing scale EM-DS1236,,163,,,17.5,42.8571,25,,1,0,1,0,1,,-6,,,,,
electric heater 2R-2007,,164,,,7,114.2857,15,,1,1,1,0,1,,-1,,,,,
3pcs cake mould,,165,,,4,100,8,,1,0,1,0,1,,-1,,,,,
1 besta double chip fryer,,166,,,53,32.0755,70,,1,0,1,0,1,,-4,,,,,
1 besta gas stove with oven,,167,,,47,38.2979,65,,1,0,1,0,1,,-2,,,,,
ecco electric oven M3327,,168,,,36,38.8889,50,,1,0,1,0,1,,-43,,,,,
electro masters blender EM-BL-1073,,169,,,12.68,57.7287,20,,1,0,1,0,1,,-1,,,,,
sunlight gas stove 4plate,,170,,,102,36.3636,139.09,,1,1,1,0,1,,-46,,,,,
ceedieeye KXS-4Q502,,171,,,95,36.8421,130,,1,0,1,0,1,,-50,,,,,
cedieey 4plate gas stove,,172,,,98,32.6531,130,,1,0,1,0,1,,-16,,,,,
sunlight 4plate gas stove without oven,,173,,,42,42.8571,60,,1,0,1,0,1,,-6,,,,,
cedieeye 4plate gas stove without oven combo,,174,,,42,42.8571,60,,1,0,1,0,1,,-2,,,,,
vision 4plate gas stove,,175,,,105,34.0206,140.72,,1,1,1,0,1,,-130,,,,,
sunlight 2plate tempered gas stove,,176,,,14,42.8571,20,,1,0,1,0,1,,-116,,,,,
sunlight metal gas stove 2plates,,177,,,12,25,15,,1,0,1,0,1,,-77,,,,,
kaisa villa 12pcs KV-1001,,178,,,50,30,65,,1,0,1,0,1,,-3,,,,,
kaisa villa 12pcs KV-6636,,179,,,53,41.5094,75,,1,0,1,0,1,,0,,,,,
kaisa villa 6pcs W-2003,,180,,,22,68.1818,37,,1,0,1,0,1,,0,,,,,
kaisa villa 7pcs KV-6605,,181,,,30,50,45,,1,0,1,0,1,,0,,,,,
kaisa villa 12pcs KV-6668,,182,,,33,51.5152,50,,1,0,1,0,1,,-2,,,,,
kaisa villa 6pcs KV-6651,,183,,,30,50,45,,1,0,1,0,1,,-1,,,,,
kaisa villa 6pcs KV-6709,,184,,,31,45.1613,45,,1,0,1,0,1,,0,,,,,
kaisa villa 6pcs KV-6720,,185,,,30,50,45,,1,0,1,0,1,,0,,,,,
kaisa villa 6pcs KV-2244,,186,,,30,50,45,,1,0,1,0,1,,-2,,,,,
kaisa villa 8pcs KV-6614,,187,,,35,42.8571,50,,1,0,1,0,1,,0,,,,,
kaisa villa 7pcs KV-30409,,188,,,63,26.9841,80,,1,0,1,0,1,,-1,,,,,
granite professional pots 17pcs,,189,,,83,20.4819,100,,1,0,1,0,1,,0,,,,,
